,Team,Match Up,Game Date,W/L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE
126,WAS,WAS vs. IND,08/03/2020,L,48,101.0,112.1,-11.1,73.2,2.31,20.8,26.3,79.2,50.5,13.1,49.5,50.1,99.0,44.7
127,MIA,MIA vs. TOR,08/03/2020,L,48,103.0,108.1,-5.1,78.4,1.93,20.6,23.5,84.6,50.0,15.0,50.6,54.8,99.5,50.5
128,UTA,UTA vs. LAL,08/03/2020,L,48,104.9,112.6,-7.8,67.6,1.19,18.1,23.4,81.8,51.6,20.4,51.8,57.4,103.0,44.2
129,TOR,TOR @ MIA,08/03/2020,W,48,108.1,103.0,5.1,65.5,0.9,15.3,15.4,76.5,50.0,21.2,55.2,64.6,99.5,49.5
130,IND,IND @ WAS,08/03/2020,W,48,112.1,101.0,11.1,45.5,2.0,15.5,20.8,73.7,49.5,10.1,51.6,56.0,99.0,55.3
131,LAL,LAL @ UTA,08/03/2020,W,48,112.6,104.9,7.8,56.1,1.64,17.2,18.2,76.6,48.4,13.6,55.5,60.6,103.0,55.8
132,PHI,PHI vs. SAS,08/03/2020,W,48,126.9,125.0,1.9,56.5,2.0,18.4,25.0,63.8,45.1,12.5,60.9,65.9,104.0,50.8
133,MEM,MEM @ NOP,08/03/2020,L,48,94.3,104.8,-10.5,67.6,1.79,17.7,19.3,78.8,47.7,13.3,46.2,49.7,104.5,42.3
134,DEN,DEN @ OKC,08/03/2020,W,53,112.0,105.6,6.4,54.8,1.77,16.1,26.0,75.0,51.0,12.0,52.3,58.1,97.36,58.2
135,NOP,NOP vs. MEM,08/03/2020,W,48,104.8,94.3,10.5,67.6,1.67,17.9,21.2,80.7,52.3,14.4,51.8,55.0,104.5,57.7
136,OKC,OKC vs. DEN,08/03/2020,L,53,105.6,112.0,-6.4,54.1,1.25,14.4,25.0,74.0,49.0,15.0,51.1,56.1,97.36,41.8
137,SAS,SAS @ PHI,08/03/2020,L,48,125.0,126.9,-1.9,45.7,1.5,14.9,36.2,75.0,54.9,13.5,55.9,61.5,104.0,49.2
138,DAL,DAL @ PHX,08/02/2020,L,48,109.5,111.4,-1.9,57.9,2.75,15.6,24.6,80.4,50.9,7.6,44.1,52.6,105.0,50.9
139,MIL,MIL @ HOU,08/02/2020,L,48,109.4,113.2,-3.8,46.7,0.91,14.4,36.5,84.5,61.8,21.7,53.8,56.8,106.0,51.0
140,BOS,BOS vs. POR,08/02/2020,W,48,132.0,125.3,6.7,57.1,1.71,18.5,24.3,68.9,48.8,14.4,66.2,69.6,98.0,51.3
141,SAS,SAS @ MEM,08/02/2020,W,48,102.9,101.9,0.9,61.1,1.29,15.7,27.8,86.5,56.6,16.2,48.8,53.7,104.5,49.7
142,PHX,PHX vs. DAL,08/02/2020,W,48,111.4,109.5,1.9,52.4,2.0,16.2,19.6,75.4,49.1,10.5,51.6,56.7,105.0,49.1
143,HOU,HOU vs. MIL,08/02/2020,W,48,113.2,109.4,3.8,61.1,2.44,16.1,15.5,63.5,38.2,8.5,51.1,57.3,106.0,49.0
144,WAS,WAS @ BKN,08/02/2020,L,48,108.9,118.0,-9.1,65.0,2.0,18.6,27.5,68.5,48.6,12.9,50.6,55.1,100.5,47.7
145,SAC,SAC @ ORL,08/02/2020,L,48,111.5,125.7,-14.2,66.7,2.0,20.5,25.0,72.1,47.3,14.4,53.8,57.6,104.5,43.6
146,MEM,MEM vs. SAS,08/02/2020,L,48,101.9,102.9,-0.9,64.3,2.25,19.7,13.5,72.2,43.4,11.5,50.0,53.6,104.5,50.3
147,ORL,ORL vs. SAC,08/02/2020,W,48,125.7,111.5,14.2,72.1,1.72,20.9,27.9,75.0,52.7,17.1,63.4,67.8,104.5,56.4
148,POR,POR @ BOS,08/02/2020,L,48,125.3,132.0,-6.7,68.9,2.58,21.5,31.1,75.7,51.2,12.1,60.6,63.9,98.0,48.7
149,BKN,BKN vs. WAS,08/02/2020,W,48,118.0,108.9,9.1,60.5,2.09,16.4,31.5,72.5,51.4,11.0,48.3,55.5,100.5,52.3
150,DEN,DEN vs. MIA,08/01/2020,L,48,106.1,123.8,-17.7,71.8,1.47,19.3,34.6,78.8,51.8,19.2,48.3,52.7,100.0,36.4
151,LAL,LAL @ TOR,08/01/2020,L,48,89.3,102.9,-13.6,58.6,0.94,12.9,21.1,76.0,46.7,17.5,41.5,47.7,103.5,37.5
152,LAC,LAC vs. NOP,08/01/2020,W,48,120.0,99.0,21.0,62.2,2.3,16.5,20.8,76.9,48.6,9.5,56.9,61.5,104.5,58.4
153,PHI,PHI @ IND,08/01/2020,L,48,116.3,121.0,-4.6,43.5,0.95,13.8,43.8,74.5,59.6,20.2,54.3,58.2,104.5,45.5
154,UTA,UTA @ OKC,08/01/2020,L,48,94.9,113.4,-18.5,50.0,1.06,12.9,29.6,64.9,44.0,16.2,43.7,48.6,98.0,37.5
155,IND,IND vs. PHI,08/01/2020,W,48,121.0,116.3,4.6,64.6,3.1,20.9,25.5,56.3,40.4,9.5,57.9,60.4,104.5,54.5
156,NOP,NOP @ LAC,08/01/2020,L,48,99.0,120.0,-21.0,63.2,1.33,17.1,23.1,79.2,51.4,17.3,50.0,52.9,104.5,41.6
157,TOR,TOR vs. LAL,08/01/2020,W,48,102.9,89.3,13.6,68.6,1.33,17.1,24.0,78.9,53.3,17.3,50.0,56.1,103.5,62.5
158,MIA,MIA @ DEN,08/01/2020,W,48,123.8,106.1,17.7,72.5,1.81,21.2,21.2,65.4,48.2,15.8,64.6,70.8,100.0,63.6
159,OKC,OKC vs. UTA,08/01/2020,W,48,113.4,94.9,18.5,46.3,0.86,14.7,35.1,70.4,56.0,22.7,59.7,62.8,98.0,62.5
160,DAL,DAL vs. HOU,07/31/2020,L,53,125.2,128.6,-3.4,60.0,1.5,17.6,35.5,83.0,57.4,16.8,57.6,61.2,107.77,45.7
161,SAC,SAC @ SAS,07/31/2020,L,48,111.1,120.6,-9.4,47.8,1.22,15.2,30.6,77.8,53.2,16.7,54.7,57.8,107.5,43.0
162,MEM,MEM @ POR,07/31/2020,L,53,118.4,123.9,-5.5,59.5,1.92,16.0,32.1,75.0,51.5,11.4,52.2,58.7,102.79,46.5
163,SAS,SAS vs. SAC,07/31/2020,W,48,120.6,111.1,9.4,66.7,2.13,21.5,22.2,69.4,46.8,14.0,59.4,63.3,107.5,57.0
